"Referencia","Valor","Huella","Cantidad","Funcion"
"BR1,BR2","2W10","Flechas127:Puente_2W10","2","Puente 2W10 de la fuente logica,Puente 2W10 de las flechas (+ = anodo comun, sin filtrar)"
"C1","474J 400V","Flechas127:C_Poliester_P10-15mm","1","Poliester 0.47 uF 400 V (paso 10 o 15 mm): fuente de la logica, ~19 mA"
"C2","224J 400V","Flechas127:C_Poliester_P10-15mm","1","Poliester 0.22 uF 400 V (paso 10 o 15 mm): corriente de las flechas, ~8 mA"
"C3","220uF 25V","Flechas127:CP_Radial_D8.0mm_P3.81mm","1","Filtro de 12 V"
"C5","10uF 25V","Flechas127:CP_Radial_D5.0mm_P2.54mm","1","Capacitor de tiempo del 555"
"DZ1","1N4742A 12V 1W","Flechas127:D_DO-41_P10.16mm","1","Zener 12 V: fija el voltaje de la logica y absorbe la corriente sobrante"
"J1","127 VCA","Flechas127:Clema_2P_P5.08mm","1","Entrada 127 VCA (pin 1 = N neutro, pin 2 = L fase; se pueden intercambiar). Del mismo cable que la placa Radox"
"J2","FLECHAS","Flechas127:Cables_4P_P5.08mm","1","Cables a las flechas: 1 = + comun (anodos), 2 = F3-, 3 = F1-, 4 = F2- (catodos). Rotulado en la placa como +, F3, F1, F2"
"R1,R2","220R 1W fusible","Flechas127:R_1W_Vertical_P7.62mm","2","Resistencia fusible de la fuente de flechas,Resistencia fusible de la fuente logica (limita el pico al enchufar)"
"R3","1M 1/2W","Flechas127:R_Vertical_P5.08mm","1","Descarga los capacitores al desenchufar (entre L y N)"
"R6","47k","Flechas127:R_Vertical_P5.08mm","1","Salida -> capacitor de tiempo (velocidad: 33k = 0.46 s, 47k = 0.66 s, 68k = 0.95 s, 100k = 1.4 s)"
"R8,R9,R10","4.7k","Flechas127:R_Vertical_P5.08mm","3","Resistencia de compuerta del SCR 1 (2.4 mA),Resistencia de compuerta del SCR 2 (2.4 mA),Resistencia de compuerta del SCR 3 (2.4 mA)"
"SCR1,SCR2,SCR3","MCR100-6","Flechas127:TO-92_SCR","3","SCR de la flecha 1 (0.8 A 400 V; tambien PCR606J). Patas: K G A,SCR de la flecha 2 (0.8 A 400 V; tambien PCR606J). Patas: K G A,SCR de la flecha 3 (0.8 A 400 V; tambien PCR606J). Patas: K G A"
"U1","NE555P","Flechas127:DIP-8_W7.62mm","1","Reloj (astable con la salida): T = 1.4 x R6 x C5 = 0.66 s por flecha"
"U2","CD4017BE","Flechas127:DIP-16_W7.62mm","1","Contador: Q0-Q2 = flechas 1-3, Q3 -> RESET (3 pasos). INH (13) va a RESET: siempre en bajo salvo el pulso de reset"
"W1","PUENTE","Flechas127:Puente_Abajo_P7.62mm","1","Puente de cable forrado del lado del cobre (sin agujero) que une CLK con CLK_W1"
"W2","PUENTE","Flechas127:Puente_Abajo_P10.16mm","1","Puente de cable forrado del lado del cobre (sin agujero) que une V12 con V12_W2"
